店舖名稱,店舖編號,服務編號,地址,電話
全家花蓮建中店,015553,50291,花蓮縣花蓮市中山路547-2號,03-8909637;03-8315576
全家花蓮慈濟店,014869,18472,花蓮縣花蓮市中央路三段707號3樓,03-8573640;03-8571610
全家花蓮正國店,017489,15036,花蓮縣花蓮市中正路569號,03-8909636;03-8358084
全家花蓮榮正店,013551,18552,花蓮縣花蓮市中正路207號;209號,03-8909628;03-8336312
全家花蓮新美店,017812,52548,花蓮縣花蓮市中興路182號1樓,03-8909415;03-8236890
全家花蓮光復店,017157,51437,花蓮縣花蓮市民國路121號,03-8909002;03-8316381
全家花蓮博愛店,018734,52139,花蓮縣花蓮市林森路250號,03-8909305;03-8352319
全家花蓮遠百店,019290,59290,花蓮縣花蓮市林森路191號1樓,03-8909312;03-8310861
全家花蓮慈安店,019258,51373,花蓮縣花蓮市建國路二段876號,03-8909626;03-8463933
全家新城太魯閣店,016143,18131,花蓮縣新城鄉新城村新興路53號1樓,03-8909610;03-8610632
全家新城民益店,014596,19315,花蓮縣新城鄉嘉新村嘉新路45號,03-8909601;03-8225610
全家秀林崇德店,018979,58979,花蓮縣秀林鄉崇德村海濱7號1樓,03-8909532;03-8621419
全家吉安仁里店,019532,12976,花蓮縣吉安鄉中正路一段153號;155號1樓,03-8909619;03-8546913
全家吉安宜昌店,018415,14339,花蓮縣吉安鄉中華路二段161號1樓,03-8909621;03-8536892
全家吉安自強店,018885,12990,花蓮縣吉安鄉勝安村自強路129號一樓131號,03-8909620;03-8514770
全家吉安鑫莊敬店,015318,51749,花蓮縣吉安鄉自強路603號,03-8909192;03-8561115
全家吉安和平店,017755,55260,花蓮縣吉安鄉自強路395號之1,03-8909331;03-8564431
全家吉安福興店,015162,18315,花蓮縣吉安鄉福興路232-1號,03-8909623;03-8541041
全家壽豐豐田店,015141,14913,花蓮縣壽豐鄉豐山村中山路195號,03-8909608;03-8652750
全家瑞穗車站店,018416,15552,花蓮縣瑞穗鄉瑞穗村中正北路1號一樓,03-8909603;03-8875375
全家玉里玉溪店,013096,53096,花蓮縣玉里鎮中華路177號,03-8909652;03-8980425
