店舖名稱,店舖編號,服務編號,地址,電話
全家高雄福華店,015219,50219,高雄市新興區七賢一路301號一樓,07-9769758;07-2360858
全家高雄寶成店,015336,55336,高雄市前金區七賢二路322號,07-9766151;07-2411037
全家高雄榮安店,012406,17112,高雄市前金區自強一路60;62;64號1樓,07-9769709;07-2827415
全家高雄忠孝店,015983,52222,高雄市苓雅區三多三路168號壹樓,07-9765467;07-3317931
全家高雄亞太店,016525,50702,高雄市苓雅區三多四路65號壹樓,07-9744322;07-2691476
全家高雄五福店,017336,17111,高雄市苓雅區五福一路153號,07-9769789;07-2290512
全家高雄實踐店,014157,17932,高雄市苓雅區和平一路130號一樓,07-9769706;07-2265917
全家高雄武仁店,017782,17750,高雄市苓雅區武仁街95號一樓,07-9744335;07-7238451
全家高雄武聖店,017613,53517,高雄市苓雅區武廟路133號,07-9741961;07-7228004
全家高雄市府店,019661,17281,高雄市苓雅區苓雅一路195號,07-9744176;07-5367610
全家高雄福山店,015307,18551,高雄市苓雅區福德三路226號,07-9769712;07-7225460
全家高雄廣泉店,017568,54152,高雄市苓雅區廣州一街127號一樓,07-9741908;07-7220774
全家高雄福王店,014463,50717,高雄市鹽埕區五福四路72號,07-9769713;07-5316702
全家高雄新樂店,010836,50836,高雄市鹽埕區新樂街238號,07-9769733;07-5319796
全家高雄國泰店,019660,17255,高雄市鼓山區九如四路687;689號,07-9744238;07-5315985
全家高雄美美店,015383,54860,高雄市鼓山區中華一路976號一樓,07-9769375;07-5528463
全家高雄文信店,018493,53602,高雄市鼓山區文信路193號1樓及2樓,07-9741962;07-5533953
全家高雄明倫店,016611,18800,高雄市鼓山區明倫路148號1樓,07-9744327;07-5547219
全家高雄南屏店,014657,19462,高雄市鼓山區南屏路536號,07-9744341;07-5536031
全家高雄美舞店,019462,52135,高雄市鼓山區美術東五路118號,07-9765452;07-5224293
全家高雄美藝店,016453,50056,高雄市鼓山區美術館路87號,07-9744357;07-5225401
全家高雄如逢店,016949,56949,高雄市鼓山區逢甲路98號,07-9766503;07-5887028
全家高雄華漾店,013268,53043,高雄市鼓山區華泰路152號,07-9765591;07-5524308
