店舖名稱,店舖編號,服務編號,地址,電話
全家高雄文川店,018270,58270,高雄市左營區曾子路300號(配送用),07-9721832;07-3502659
全家高雄孟文店,015356,51688,高雄市左營區孟S子路365號一樓,07-9721018;07-3453208
全家高雄富國店,018751,17943,高雄市左營區富國路48號一樓,07-9769721;07-5590732
全家鳳山鳳埤店,016690,19097,高雄市鳳山區中山東路292號,07-9744380;07-7031187
全家鳳山光華店,016488,17314,高雄市鳳山區五甲一路149號,07-9744371;07-7901684
全家鳳山聖王店,015982,18739,高雄市鳳山區光復路一段52號一樓,07-9744369;07-7191152
全家鳳山自強店,017636,17427,高雄市鳳山區自強二路147號;149號,07-9744373;07-8314209
全家鳳山文山店,014551,52136,高雄市鳳山區青年路二段460號一樓,07-9741240;07-7778107
全家鳳山新富店,016338,17069,高雄市鳳山區新富路398號1樓,07-9741736;07-7668853
全家鳳山瑞興店,017052,17096,高雄市鳳山區瑞興路120號,07-9744368;07-7191407
全家鳳山誠義店,019337,51945,高雄市鳳山區誠義路119號,07-9765175;07-7406564
全家高雄如順店,016675,56602,高雄市三民區九如一路530號,07-9765853;07-3807586
全家高雄龍江店,019588,17436,高雄市三民區九如二路138號,07-9769743;07-3219600
全家高雄褒忠店,015418,17830,高雄市三民區大昌二路119之2號1樓,07-9769748;07-3954767
全家高雄大興店,012442,17651,高雄市三民區大裕路38號,07-9769786;07-3955446
全家高雄春豐店,016676,51290,高雄市三民區大豐二路457號,07-9744350;07-3908499
全家高雄安和店,016278,17376,高雄市三民區北平一街153號;155號;157號,07-9744235;07-3226098
全家高雄延慶店,016410,17972,高雄市三民區第二安發里延慶街113號一樓,07-9744326;07-3890250
全家高雄鼎中店,018293,17025,高雄市三民區金鼎路358號,07-9744302;07-3493468
全家高雄車頭店,019457,58699,高雄市三民區建國二路318號B1西側,07-9769160;07-2363696
全家高雄建德店,016452,52949,高雄市三民區建興路151號,07-9721729;07-3854179
全家高雄重慶店,018941,53545,高雄市三民區重慶街269號,07-9741967;07-3229637
全家高雄鼎勇店,015937,18529,高雄市三民區鼎山街300號;302號1樓,07-9744398;07-3943089
全家高雄覺禮店,013071,18186,高雄市三民區覺民路38號,07-9769750;07-3947337
全家旗津天后店,017860,57860,高雄市旗津區廟前路28號一樓,07-9769973;07-5718997
全家高雄美美店,015383,54860,高雄市鼓山區中華一路976號一樓,07-9769375;07-5528463
全家高雄文信店,018493,53602,高雄市鼓山區文信路193號1樓及2樓,07-9741962;07-5533953
全家高雄明倫店,016611,18800,高雄市鼓山區明倫路148號1樓,07-9744327;07-5547219
全家高雄南屏店,014657,19462,高雄市鼓山區南屏路536號,07-9744341;07-5536031
全家高雄美舞店,019462,52135,高雄市鼓山區美術東五路118號,07-9765452;07-5224293
全家高雄華漾店,013268,53043,高雄市鼓山區華泰路152號,07-9765591;07-5524308
全家高雄鼓山店,018598,53795,高雄市鼓山區鼓山二路43號壹樓,07-9765306;07-5217383
全家高雄大西店,018125,58125,高雄市楠梓區大學南路1186號1樓,07-9721726;07-3650776
全家高雄右昌店,015107,18531,高雄市楠梓區右昌街221號,07-9744155;07-3609679
全家高雄後勁店,016567,19238,高雄市楠梓區後昌路131號1樓,07-9744348;07-3657187
全家高雄創金店,018371,58371,高雄市楠梓區創新路890之1號,07-9721867;07-3533658
全家高雄藍天店,012620,52620,高雄市楠梓區藍昌路358號,07-9766946;07-3659782
全家林園文林店,011846,51846,高雄市林園區東林西路137號,07-9741452;07-6417056
全家美濃泰安店,015113,55113,高雄市美濃區中正路一段53號,07-9766881;07-6812061
全家六龜農會店,015157,55157,高雄市六龜區光復路109號,07-9766980;07-6891095
全家杉林農會店,015948,55948,高雄市杉林區清水路45號,07-9765352;07-6774509
全家高雄瑞北店,017240,57240,高雄市前鎮區瑞北路213號,07-9765035;07-7165125
全家高雄新樂店,010836,50836,高雄市鹽埕區新樂街238號,07-9769733;07-5319796
全家高雄福華店,015219,50219,高雄市新興區七賢一路301號壹樓角窗部份,07-9769758;07-2360858
全家高雄忠孝店,015983,52222,高雄市苓雅區三多三路168號壹樓,07-9765467;07-3317931
全家高雄五福店,017336,17111,高雄市苓雅區五福一路153號,07-9769789;07-2290512
全家高雄實踐店,014157,17932,高雄市苓雅區和平一路130號一樓,07-9769706;07-2265917
全家高雄民益店,017550,50289,高雄市小港區二苓路246號,07-9744195;07-801643
全家高雄沿海店,014223,17387,高雄市小港區沿海一路397之5號,07-9744229;07-8070902
全家高雄康莊店,018366,52871,高雄市小港區康莊路183號,07-9765857;07-8070804
全家高雄中安店,016867,19385,高雄市小港區廈莊一街168號,07-9769787;07-7932921
全家岡山竹東店,019551,54529,高雄市岡山區下竹圍東街167號,07-9769908;07-6214752
全家岡山平和店,014759,17126,高雄市岡山區岡山路277之1號1樓,07-9744070;07-6214732
全家岡山岡燕店,014135,19007,高雄市岡山區岡燕路289號一至二樓,07-9744071;07-6228970
全家路竹中興店,019300,18766,高雄市路竹區中興路150-4號1樓,07-9744312;07-6962607
全家阿蓮忠孝店,015677,14325,高雄市阿蓮區忠孝路232號。236號1樓,07-9744209;07-6311535
全家梓官蚵仔寮店,019335,57746,高雄市梓官區漁港二路13號,07-9769063;07-6107313
全家彌陀虱目魚店,018940,52938,高雄市彌陀區中正路50號一樓,07-9721705;07-6101475
全家大樹義城店,019339,18738,高雄市大樹區學城路一段12號(商店街12;13號),07-9741811;07-6568076
全家茄萣白砂崙店,014501,18370,高雄市茄萣區白砂路243號1樓,07-9744222;07-6903182
